product_id,product_name,product_name_original,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1e9e8ef04dbcff4541ed26657ea517e5,Perfume Aventus 50ml,Perfume Aventus 50ml,perfumaria,40,287,1,225,16,10,14
3aa071139cb16b67ca9e5dea641aaa2f,Set de Pintura Acrílica 12 Cores,Set de Pintura Acrílica 12 Cores,artes,44,276,1,1000,30,18,20
96bd76ec8810374ed1b65e291975717f,Raquete de Tênis Júnior,Raquete de Tênis Júnior,esporte_lazer,46,250,1,154,18,9,15
cef67bcfe19066a932b7673e239eb23d,Andador Infantil Musical,Andador Infantil Musical,bebes,27,261,1,371,26,4,26
9dc1a7de274444849c219cff195d0b71,Kit de Limpeza Multiuso (5pç),Kit de Limpeza Multiuso (5pç),utilidades_domesticas,37,402,4,625,20,17,13
41d3672d4792049fa1779bb35283ed13,Violão Acústico Clássico,Violão Acústico Clássico,instrumentos_musicais,60,745,1,200,38,5,11
732bd381ad09e530fe0a5f457d81becb,Camiseta Geek Estampada,Camiseta Geek Estampada,cool_stuff,56,1272,4,18350,70,24,44
2548af3e6e77a690cf3eb6368e9ab61e,Prateleira Flutuante para Sala,Prateleira Flutuante para Sala,moveis_decoracao,56,184,2,900,40,8,40
37cc742be07708b53a98702e77a21a02,Geladeira Frost Free 400L,Geladeira Frost Free 400L,eletrodomesticos,57,163,1,400,27,13,17
8c92109888e8cdf9d66dc7e463025574,Jogo de Blocos 200pç,Jogo de Blocos 200pç,brinquedos,36,1156,1,600,17,10,12
14aa47b7fe5c25522b47b4b29c98dcb9,Cama Mesa Banho - 1kg - 16x10x16cm,Producto Genérico 1,cama_mesa_banho,54,630,1,1100,16,10,16
03b63c5fc16691530586ae020c345514,Berço Portátil Dobrável,Berço Portátil Dobrável,bebes,49,728,4,7150,50,19,45
cf55509ea8edaaac1d28fdb16e48fc22,Teclado Musical 49 Teclas,Teclado Musical 49 Teclas,instrumentos_musicais,43,1827,3,250,17,7,17
7bb6f29c2be57716194f96496660c7c2,Luminária Pendente Moderna,Luminária Pendente Moderna,moveis_decoracao,51,2083,2,600,68,11,13
eb31436580a610f202c859463d8c7415,Construcao Ferramentas Seguranca - 200g - 17x7x17cm,Producto Genérico 5,construcao_ferramentas_seguranca,59,1602,4,200,17,7,17
3bb7f144022e6732727d8d838a7b13b3,Bola de Futebol Oficial (Edição Especial),Bola de Futebol Oficial (Edição Especial),esporte_lazer,22,3021,1,800,16,2,11
6a2fb4dd53d2cdb88e0432f1284a004c,Colônia Nativa 200ml,Colônia Nativa 200ml,perfumaria,39,346,2,400,27,5,20
a1b71017a84f92fd8da4aeefba108a24,Teclado Multimídia ABNT2,Teclado Multimídia ABNT2,informatica_acessorios,59,636,1,900,40,15,20
a0736b92e52f6cead290e30b578413b6,Luminária Pendente Moderna,Producto Genérico 10,moveis_decoracao,56,296,2,1700,100,7,15
f53103a77d9cf245e579ea37e5ec51f0,Cama Mesa Banho - 500g - 16x10x16cm,Producto Genérico 2,cama_mesa_banho,52,206,1,500,16,10,16
